N,replication,J_hat_N,se,lo,hi,covers
8,77,-3.5097816477e+01,1.1501404183e+00,-3.7352050274e+01,-3.2843582680e+01,0
8,78,-3.0292008494e+01,1.2320375000e+00,-3.2706757621e+01,-2.7877259366e+01,1
8,79,-3.3534808326e+01,1.7552274040e+00,-3.6974990823e+01,-3.0094625830e+01,1
8,80,-3.1397922979e+01,4.3266217741e-01,-3.2245925264e+01,-3.0549920694e+01,1
8,81,-3.1521390642e+01,1.4789923693e+00,-3.4420162419e+01,-2.8622618864e+01,1
8,82,-3.0381093891e+01,1.5709998381e+00,-3.3460196994e+01,-2.7301990789e+01,1
8,83,-3.0349508381e+01,1.2269889685e+00,-3.2754362568e+01,-2.7944654193e+01,1
8,84,-3.0360831758e+01,1.0914019050e+00,-3.2499940185e+01,-2.8221723332e+01,1
8,85,-3.1391295541e+01,1.1927451891e+00,-3.3729033154e+01,-2.9053557927e+01,1
8,86,-3.3471524804e+01,1.5819736031e+00,-3.6572136091e+01,-3.0370913518e+01,1
8,87,-3.2388429358e+01,1.2463587523e+00,-3.4831247624e+01,-2.9945611091e+01,1
8,88,-3.1652783896e+01,1.1255907526e+00,-3.3858901233e+01,-2.9446666560e+01,1
8,89,-3.2174223876e+01,9.9467323674e-01,-3.4123747597e+01,-3.0224700156e+01,1
8,90,-3.0460271923e+01,1.0974951555e+00,-3.2611322901e+01,-2.8309220945e+01,1
8,91,-3.3384347436e+01,1.3459352838e+00,-3.6022332118e+01,-3.0746362754e+01,1
8,92,-3.1913374725e+01,1.6676245977e+00,-3.5181858877e+01,-2.8644890574e+01,1
8,93,-3.2288080285e+01,1.3751190341e+00,-3.4983264066e+01,-2.9592896503e+01,1
8,94,-3.5037474330e+01,1.5804893920e+00,-3.8135176616e+01,-3.1939772044e+01,1
8,95,-3.3111915885e+01,6.4569783005e-01,-3.4377460377e+01,-3.1846371393e+01,1
8,96,-3.2236186342e+01,1.4187592563e+00,-3.5016903387e+01,-2.9455469297e+01,1
8,97,-3.0709573576e+01,8.6487976374e-01,-3.2404706764e+01,-2.9014440388e+01,1
8,98,-3.3330212452e+01,1.5859098535e+00,-3.6438538647e+01,-3.0221886256e+01,1
8,99,-3.2353719628e+01,1.1901756692e+00,-3.4686421075e+01,-3.0021018181e+01,1
8,100,-3.3564396818e+01,9.3230183818e-01,-3.5391674844e+01,-3.1737118793e+01,1
16,1,-3.1467036367e+01,7.7198330429e-01,-3.2980095840e+01,-2.9953976894e+01,1
16,2,-3.1389444433e+01,9.3659480506e-01,-3.3225136519e+01,-2.9553752347e+01,1
16,3,-3.1322756576e+01,1.0213709920e+00,-3.3324606936e+01,-2.9320906217e+01,1
