delta
2.731359835450904825e+02
5.198836362729369966e+02
5.345426052031780273e+02
3.032496828674815248e+01
-1.381484337122316674e+03
7.179014355028815544e+02
-6.942078469817347468e+02
5.479575972782650979e+02
4.420648710680204090e+02
1.979006706600368304e+01
-8.328261299465339107e+02
-8.149531769027644259e+02
-4.873394951383261287e+02
6.501119993786884379e+02
6.145799284330040564e+02
4.869762221104865603e+02
-2.800692837827393760e+02
-4.568961820271903207e+02
-3.515847095578472477e+02
1.105156293480485374e+03
-9.146531968533267900e+02
-8.394975999621718756e+02
-1.063165335418183531e+03
-6.415679489735391599e+02
-1.335117990595359849e+01
2.068760146060487841e+02
-4.514668931453061305e+02
-1.341579400449658692e+02
-6.699192737800442501e+02
5.797383549229684832e+02
3.478184327465609726e+02
1.331867969106523333e+02
-2.795512726596702535e+01
-8.019903287210990994e-01
-3.221901954084111708e+02
-9.220851157422396227e+02
5.774355692728357781e+02
-6.887406737192467290e+02
1.108071475855940662e+02
-5.481034822208202968e+02
5.921534723905905366e+02
-1.029817375603685605e+03
-1.134774279739688609e+03
1.329688729892525600e+02
9.490023985933137851e+01
9.441744310118953081e+02
-1.308704759171515434e+03
5.596110762317853187e+02
-2.221031022370313792e+02
7.548287679850304244e+01
-3.693457236080433859e+02
4.481972675557977368e+02
-1.467884314279094724e+02
5.466293211762467763e+02
3.566449626342533747e+02
-6.000257787845993107e+02
7.916440445304245941e+02
-4.583187073445224655e+02
4.888940133590014625e+02
1.450621935893175589e+02
-5.288563887724421875e+02
6.860147234765740905e+02
-6.684832702617189852e+02
-1.534215757438681749e+02
8.972413701314664536e+01
-1.120678345627429628e+01
2.294466241527661623e+02
-2.396235638008115814e+02
-7.193248819691525568e+02
3.478845508661170811e+02
-5.442733816405793732e+02
-3.321470655953982600e+02
-7.923507383009534522e+01
4.885418430518649302e+02
-6.818215502185282730e+02
-1.130320197910479010e+03
-2.724431425290721904e+02
-7.840491402197936850e+02
6.906870595537619693e+02
3.927019892287889888e+02
1.445154889897693920e+03
1.821325541210118502e+02
-6.007279406743057280e+02
7.450354634139895325e+02
1.197775358522922261e+03
2.483898065139704840e+02
4.693575996036372544e+02
4.571279813105417134e+02
-8.129671876041628593e+02
-3.759358737207267609e+02
-5.453538225682726761e+02
-4.503075676397184566e+02
-1.440018015896713166e+02
9.624038026150393534e+02
-8.904018305158448499e+00
-1.205111312733974955e+03
-5.537788517744960473e+02
2.889922909396183570e+01
-8.878093784669042634e+02
-6.443271176897401347e+02
9.212540196971349360e+01
-5.427061278155836277e+01
9.328950035010824138e+01
1.104368637300900957e+02
1.259972185050260691e+02
1.948885073148913349e+01
-4.296534111591983560e+02
-2.597814760737001620e+02
-5.393637129989415371e+02
-2.360363010285820110e+03
1.349343212148503994e+02
-4.871613228120140775e+02
-1.299796388388940386e+03
-1.095478796461455659e+03
9.453862264157933168e+02
-9.983379244479891668e+02
-6.261059036265356070e+01
-8.893957991422507803e+02
-1.503516735396080776e+03
-5.857809844879622005e+02
6.291228232700819945e+01
9.702403981224827021e+02
4.203098628309596165e+02
-7.311043454900257075e+02
3.905779916026892238e+02
-5.554120882777274346e+02
-4.546070080234088806e+01
5.257760049465333623e+02
-1.598028633354599890e+02
5.834346472166026842e+02
3.561434257019496954e+02
-2.108072065418293164e+02
-8.104813556063232909e+02
8.574315970003204939e+02
-3.768551835052999763e+02
-2.366045550454959141e+02
7.742303715581208223e+01
2.706589265109141138e+02
-8.721525450263154653e+02
1.318787347271845420e+03
4.663021888485309319e+02
4.021889958332541255e+02
-7.638510170241424646e+01
1.271240642267418252e+03
-1.664365173162648716e+03
1.270990579944831097e+03
4.360571915118865718e+02
-6.562592620409348001e+02
6.852188640829483575e+02
-5.382150629157956701e+02
3.440884554887110625e+01
-8.438973732882024024e+02
6.325603436778762898e+02
-5.307521230530444427e+02
-1.332973757131382797e+02
-4.293030525957724421e+02
9.860267145951471548e+02
-4.203015554161920591e+02
5.176697587032293768e+02
1.226579717594885324e+03
