N,m,b,b_over_N,replications,mean_width,sd_width,se_mean_width
32,160,7,0.21875,30,2.2654258826421994,0.13913617495608255,0.02540267386281059
32,160,11,0.34375,30,2.0611189219944284,0.12652518388499762,0.023100232435434107
32,160,15,0.46875,30,1.8848757916815273,0.1306171950641381,0.023847328044893628
32,160,19,0.59375,30,1.629605404792347,0.1024294105192347,0.01870096623111393
64,320,5,0.078125,30,1.5981447466066387,0.08363076054913525,0.015268818018024837
64,320,15,0.234375,30,1.4649129023830765,0.07045328694430705,0.012862951503260396
64,320,25,0.390625,30,1.3087668394077048,0.0622230877444212,0.011360329585080913
64,320,35,0.546875,30,1.111345525039554,0.04932421424251474,0.00900532825728097
