delta
-5.274794197693021269e-01
-3.770771407510205897e+00
3.809071018571612566e+00
-5.851033586512174978e+00
-1.766514332193885872e+00
-7.038862953767306418e-01
6.465049899568396929e-01
5.792636033393535472e-02
-4.309041685590429133e-02
-3.495376460739409552e+00
4.726785581493293975e+00
1.095344381493238428e+00
-1.616333854458365638e+00
-3.270534055554707997e-01
-9.131942145414412293e-01
1.095344381493063679e+00
-2.470244327261684969e+00
-3.152530129022348415e+00
-3.369406398791115365e+00
-1.434635604088981164e+00
-3.152530129022236949e+00
-1.857058699473428387e-01
6.465049899566014391e-01
-2.254150264598281383e-01
-7.038862953712332615e-01
2.250684825725049354e+00
8.165664414493462031e-01
2.850206004523430536e+00
-5.994535617878359313e-01
-3.900284037366794632e+00
-5.067286742904607344e+00
3.870114084640531971e+00
1.538827002070646266e+00
-1.434635604123434716e+00
-2.254150264420174410e-01
-3.270534055581718058e-01
-9.310418939374696112e-01
-1.434635604096361261e+00
1.603527018268683935e-01
-1.857058699478353891e-01
