t,u_nominal solution,u_SAA solution
0.000000000000000000e+00,1.464806338461863977e-01,2.155493866008809378e-01
7.499999999999999722e-03,1.466427277614533731e-01,1.845588016262104669e-01
1.499999999999999944e-02,1.469053987906953351e-01,1.654176263084655707e-01
2.249999999999999917e-02,1.472230659623927074e-01,1.541229426225840804e-01
2.999999999999999889e-02,1.475671379099209868e-01,1.479030317389254667e-01
3.749999999999999861e-02,1.479205460220341939e-01,1.448719724695829714e-01
4.499999999999999833e-02,1.482738570466835271e-01,1.437678749443297987e-01
5.249999999999999806e-02,1.486225411186911094e-01,1.437619977047071007e-01
5.999999999999999778e-02,1.489650806514319359e-01,1.443233709621314920e-01
6.750000000000000444e-02,1.493016868775156325e-01,1.451238427121101515e-01
7.499999999999999722e-02,1.496334513899621743e-01,1.459715516452885498e-01
8.249999999999999001e-02,1.499618052198629925e-01,1.467643084745086368e-01
8.999999999999999667e-02,1.502881920709441266e-01,1.474570613409860453e-01
9.750000000000000333e-02,1.506138875537870736e-01,1.480394331866693447e-01
1.049999999999999961e-01,1.509399152637634633e-01,1.485204969225913940e-01
1.124999999999999889e-01,1.512670247019902159e-01,1.489187378993162003e-01
1.199999999999999956e-01,1.515957063249276093e-01,1.492556979749300738e-01
1.275000000000000022e-01,1.519262268579972819e-01,1.495521903865051905e-01
1.350000000000000089e-01,1.522586734136037734e-01,1.498262685636149449e-01
1.424999999999999878e-01,1.525929991417964982e-01,1.500923537707820887e-01
1.499999999999999944e-01,1.529290659067926994e-01,1.503610941933840595e-01
1.575000000000000011e-01,1.532666815074887057e-01,1.506396543184083392e-01
1.649999999999999800e-01,1.536056303498154474e-01,1.509322276762047332e-01
1.724999999999999867e-01,1.539456973492477065e-01,1.512406354845214351e-01
1.799999999999999933e-01,1.542866854148694788e-01,1.515649239472888765e-01
1.875000000000000000e-01,1.546284272200378618e-01,1.519039089047156676e-01
1.950000000000000067e-01,1.549707920706490660e-01,1.522556412648868318e-01
2.024999999999999856e-01,1.553136888031447227e-01,1.526177834306890468e-01
2.099999999999999922e-01,1.556570655571097028e-01,1.529878976476545527e-01
2.174999999999999989e-01,1.560009072326065671e-01,1.533636536422788854e-01
2.249999999999999778e-01,1.563452313669492499e-01,1.537429663717230222e-01
2.324999999999999845e-01,1.566900830018955471e-01,1.541240760521815634e-01
2.399999999999999911e-01,1.570355290435367368e-01,1.545055826434283686e-01
2.474999999999999978e-01,1.573816525503895225e-01,1.548864461818641181e-01
2.550000000000000044e-01,1.577285472051916104e-01,1.552659629288006549e-01
2.625000000000000111e-01,1.580763122271176824e-01,1.556437258905038756e-01
2.700000000000000178e-01,1.584250478406927787e-01,1.560195766273621831e-01
2.774999999999999689e-01,1.587748514195444494e-01,1.563935537628982353e-01
2.849999999999999756e-01,1.591258143313174778e-01,1.567658422388596151e-01
2.924999999999999822e-01,1.594780194894795666e-01,1.571367261929355330e-01
2.999999999999999889e-01,1.598315395690219909e-01,1.575065473209492362e-01
3.074999999999999956e-01,1.601864358589119852e-01,1.578756697245906337e-01
3.150000000000000022e-01,1.605427576696239200e-01,1.582444516770553089e-01
3.225000000000000089e-01,1.609005422304943533e-01,1.586132241887992234e-01
3.299999999999999600e-01,1.612598149825577032e-01,1.589822759538145891e-01
3.374999999999999667e-01,1.616205902150588125e-01,1.593518440269404701e-01
3.449999999999999734e-01,1.619828719468874856e-01,1.597221093831787397e-01
3.524999999999999800e-01,1.623466549949099946e-01,1.600931965259649592e-01
3.599999999999999867e-01,1.627119261501185910e-01,1.604651762932231274e-01
3.674999999999999933e-01,1.630786654238089162e-01,1.608380710362196930e-01
3.750000000000000000e-01,1.634468472973056308e-01,1.612118613994618366e-01
3.825000000000000067e-01,1.638164419456508702e-01,1.615864940639291925e-01
3.900000000000000133e-01,1.641874163901830830e-01,1.619618898881639291e-01
3.974999999999999645e-01,1.645597355627751446e-01,1.623379519958884076e-01
4.049999999999999711e-01,1.649333632676086014e-01,1.627145734059196602e-01
4.124999999999999778e-01,1.653082630143016818e-01,1.630916439877577173e-01
4.199999999999999845e-01,1.656843987186927825e-01,1.634690565535004136e-01
4.274999999999999911e-01,1.660617352868607177e-01,1.638467119303780029e-01
4.349999999999999978e-01,1.664402390625491501e-01,1.642245230192471150e-01
4.425000000000000044e-01,1.668198781540030373e-01,1.646024178054198983e-01
4.499999999999999556e-01,1.672006226526307759e-01,1.649803413977165290e-01
4.574999999999999623e-01,1.675824447454971611e-01,1.653582571349948571e-01
4.649999999999999689e-01,1.679653187383567670e-01,1.657361468977049945e-01
4.724999999999999756e-01,1.683492210065444250e-01,1.661140106945178663e-01
4.799999999999999822e-01,1.687341298754579944e-01,1.664918656844941725e-01
4.874999999999999889e-01,1.691200254497937094e-01,1.668697447324305749e-01
4.949999999999999956e-01,1.695068894126401382e-01,1.672476945970926276e-01
5.024999999999999467e-01,1.698947047945602307e-01,1.676257739132602786e-01
5.100000000000000089e-01,1.702834557197351606e-01,1.680040510075664351e-01
5.174999999999999600e-01,1.706731271650753223e-01,1.683826016854784724e-01
5.250000000000000222e-01,1.710637046989044729e-01,1.687615070468888312e-01
5.324999999999999734e-01,1.714551742560602998e-01,1.691408513905419131e-01
5.400000000000000355e-01,1.718475219143608956e-01,1.695207202665151847e-01
5.474999999999999867e-01,1.722407337005644468e-01,1.699011987175155780e-01
5.549999999999999378e-01,1.726347954221316983e-01,1.702823697310821283e-01
5.625000000000000000e-01,1.730296925286338994e-01,1.706643129310216056e-01
5.699999999999999512e-01,1.734254100034800239e-01,1.710471034795713607e-01
5.775000000000000133e-01,1.738219322881285889e-01,1.714308112527268280e-01
5.849999999999999645e-01,1.742192432417437598e-01,1.718155002358398020e-01
5.925000000000000266e-01,1.746173261215465677e-01,1.722012281280080881e-01
5.999999999999999778e-01,1.750161636060235115e-01,1.725880461427643231e-01
6.074999999999999289e-01,1.754157378355651886e-01,1.729759990084051291e-01
6.149999999999999911e-01,1.758160304807883934e-01,1.733651251096663404e-01
6.224999999999999423e-01,1.762170228334865030e-01,1.737554567759067858e-01
6.300000000000000044e-01,1.766186959227112885e-01,1.741470206638574270e-01
6.374999999999999556e-01,1.770210306280871893e-01,1.745398382189068676e-01
6.450000000000000178e-01,1.774240078302991852e-01,1.749339262338492906e-01
6.524999999999999689e-01,1.778276085506905468e-01,1.753292974028476392e-01
6.599999999999999201e-01,1.782318141123962751e-01,1.757259609098343889e-01
6.674999999999999822e-01,1.786366062906160346e-01,1.761239230271313960e-01
6.749999999999999334e-01,1.790419674791031424e-01,1.765231876924851784e-01
6.824999999999999956e-01,1.794478808415289339e-01,1.769237570368285828e-01
6.899999999999999467e-01,1.798543304648234364e-01,1.773256319086470023e-01
6.975000000000000089e-01,1.802613015097974947e-01,1.777288123065161041e-01
7.049999999999999600e-01,1.806687803436722306e-01,1.781332977972415188e-01
7.125000000000000222e-01,1.810767546714733001e-01,1.785390878457719099e-01
7.199999999999999734e-01,1.814852136547224215e-01,1.789461820782702328e-01
7.274999999999999245e-01,1.818941480184455284e-01,1.793545804907062113e-01
7.349999999999999867e-01,1.823035501417805404e-01,1.797642836134781541e-01
7.424999999999999378e-01,1.827134141386142774e-01,1.801752925765555402e-01
7.500000000000000000e-01,1.831237359249912044e-01,1.805876091317287768e-01
7.574999999999999512e-01,1.835345132782396915e-01,1.810012356282836854e-01
7.650000000000000133e-01,1.839457458642739796e-01,1.814161749448000294e-01
7.724999999999999645e-01,1.843574352751091161e-01,1.818324303531474173e-01
7.800000000000000266e-01,1.847695850382979899e-01,1.822500053745818027e-01
7.874999999999999778e-01,1.851822006196281178e-01,1.826689035903918679e-01
7.949999999999999289e-01,1.855952894086607685e-01,1.830891284277908759e-01
8.024999999999999911e-01,1.860088607028350383e-01,1.835106829266837380e-01
8.099999999999999423e-01,1.864229256751931962e-01,1.839335695119329872e-01
8.175000000000000044e-01,1.868374973293946140e-01,1.843577897503877183e-01
8.249999999999999556e-01,1.872525904550375042e-01,1.847833440979425312e-01
8.325000000000000178e-01,1.876682215643115936e-01,1.852102316648028546e-01
8.399999999999999689e-01,1.880844088314496676e-01,1.856384499908531327e-01
8.474999999999999201e-01,1.885011720194629259e-01,1.860679948261047822e-01
8.549999999999999822e-01,1.889185324116114117e-01,1.864988599528633328e-01
8.624999999999999334e-01,1.893365127182548846e-01,1.869310370048594405e-01
8.699999999999999956e-01,1.897551370007999616e-01,1.873645153061269109e-01
8.774999999999999467e-01,1.901744305851632288e-01,1.877992817541254966e-01
8.850000000000000089e-01,1.905944199687452101e-01,1.882353207514409488e-01
8.924999999999999600e-01,1.910151327280847633e-01,1.886726140949075980e-01
8.999999999999999112e-01,1.914365974274557236e-01,1.891111409604964433e-01
9.074999999999999734e-01,1.918588435272224890e-01,1.895508778961728646e-01
9.149999999999999245e-01,1.922819012861763099e-01,1.899917988371666311e-01
9.224999999999999867e-01,1.927058016705311128e-01,1.904338751568474541e-01
